,ligand,site,score,COM_x,COM_y,COM_z,exhaustiveness,i,model
155,Apigenin,1,-5.6,46.74313908289501,10.739518321027267,-7.970866188497856,1024,1,8
156,Apigenin,1,-5.6,46.743005323144715,10.73794190251184,-7.956196917216277,1024,1,9
157,Apigenin,1,-7.9,40.11188796903343,15.370025221007365,-0.7214980255645003,1024,2,1
158,Apigenin,1,-7.9,40.11491399869186,15.369715644050965,-0.7397930214194129,1024,2,2
159,Apigenin,1,-7.6,39.56850479289727,16.91234084890202,-0.965417762023736,1024,2,3
160,Apigenin,1,-7.1,40.40104869027935,14.14395013949061,-0.2800375922062481,1024,2,4
161,Apigenin,1,-7.1,40.45320959550653,14.156174975117706,-0.3542622424842227,1024,2,5
162,Apigenin,1,-6.9,40.275609866926345,15.498755333156884,-1.30557894303277,1024,2,6
163,Apigenin,1,-6.7,40.52959994197108,13.684200954012224,0.06039467074541125,1024,2,7
164,Apigenin,1,-5.6,46.74520921546103,10.732253625155993,-7.962535113703217,1024,2,8
165,Apigenin,1,-5.6,46.74293505789331,10.739245327230117,-7.964338849122553,1024,2,9
166,Apigenin,1,-7.9,40.115536834205116,15.365697903427115,-0.7267457039698686,1024,3,1
167,Apigenin,1,-7.9,40.12160027877604,15.367636714355125,-0.7415349564718348,1024,3,2
168,Apigenin,1,-7.6,39.564350282556745,16.909415122679622,-0.9551968676682514,1024,3,3
169,Apigenin,1,-7.1,40.27961971900346,14.312887954442575,-0.446092981119848,1024,3,4
170,Apigenin,1,-7.1,40.45854821383561,14.158078228956098,-0.3607353387059503,1024,3,5
171,Apigenin,1,-6.9,40.272583776852755,15.50789359744558,-1.3098657203754325,1024,3,6
172,Apigenin,1,-6.7,40.52644316898819,13.685693972566664,0.056385517204220935,1024,3,7
173,Apigenin,1,-5.6,46.739901549827216,10.730086136881278,-7.964239714776663,1024,3,8
174,Apigenin,1,-5.6,46.74107671606954,10.735656390695583,-7.964403712651566,1024,3,9
175,Apigenin,1,-7.9,40.11136396328251,15.360957318330323,-0.7199469206929948,1024,4,1
176,Apigenin,1,-7.9,40.114925487145634,15.373978340826714,-0.7423396286679694,1024,4,2
177,Apigenin,1,-7.6,39.56505283278282,16.907427620180368,-0.9636440770240732,1024,4,3
178,Apigenin,1,-7.1,40.46617223895737,14.14883065732216,-0.3603719648321512,1024,4,4
179,Apigenin,1,-7.1,40.454159307683454,14.148401121411586,-0.3562353775008361,1024,4,5
180,Apigenin,1,-6.9,40.28035076884171,15.507390340461038,-1.3117673901209914,1024,4,6
181,Apigenin,1,-5.6,46.74119816784791,10.73045393101624,-7.965964448229959,1024,4,7
182,Apigenin,1,-7.9,40.119527470388796,15.364161370993793,-0.7202872090640055,1024,5,1
183,Apigenin,1,-7.9,40.11129648069974,15.366100006147912,-0.7244735764271794,1024,5,2
184,Apigenin,1,-7.6,39.5739350020378,16.90897856143701,-0.9592254854509302,1024,5,3
185,Apigenin,1,-7.1,40.290477966822756,14.264894421979385,-0.4295550966030652,1024,5,4
186,Apigenin,1,-7.1,40.46781712440455,14.155077521224918,-0.3514850379790915,1024,5,5
187,Apigenin,1,-6.9,40.280617248669756,15.499726419149985,-1.2944513060349574,1024,5,6
188,Apigenin,1,-6.7,40.53977360482611,13.68403963522625,0.058637254139786675,1024,5,7
189,Apigenin,1,-5.6,46.74849574316374,10.732366116189665,-7.961233777601273,1024,5,8
190,Apigenin,1,-5.6,46.73443593170918,10.735943810566669,-7.959476170022978,1024,5,9
191,Apigenin,0,-7.9,40.0853748121716,15.451963481283586,-0.7398817673992407,1024,1,1
192,Apigenin,0,-7.1,40.05697236968207,16.129708252580322,-1.0186796933889342,1024,1,2
